"","Tool","Model","N","mean","sd"
"1","ATLImproved","I04O2",30,264.4935636,241.323078171823
"2","ATLImproved","I08O2",30,378.548994866667,169.306395045942
"3","ATLImproved","I08O4",30,388.091247433333,162.609039408971
"4","ATLImproved","I10O2",30,519.596308166667,105.792808579812
"5","ATLImproved","I12O2",30,1021.40944333333,430.439092954213
"6","ATLImproved","I14O4",30,3286.86026616667,2662.42213423423
"7","ATLImproved","I15O5",30,8700.9992847,9090.70551166984
"8","Fulib","I04O2",30,36.103228,20.9424764186575
"9","Fulib","I08O2",30,52.3945586333333,13.0414541218345
"10","Fulib","I08O4",30,54.1954150333333,12.9042768210597
"11","Fulib","I10O2",30,82.4040852333333,25.6001305293533
"12","Fulib","I12O2",30,182.762170333333,136.138395331265
"13","Fulib","I14O4",30,296.383604133333,229.524677303002
"14","Fulib","I15O5",30,483.258944133333,406.529705919049
"15","NMF","I04O2",30,177.19802,122.123923409779
"16","NMF","I08O2",30,379.138443333333,304.002129424161
"17","NMF","I08O4",30,391.23716,316.146342214349
"18","NMF","I10O2",30,1380.91422333333,1608.07554804676
"19","NMF","I12O2",30,9809.62495333333,13137.372168552
"20","NMF","I14O4",30,157588.436996667,222061.43866735
"21","RAG_BDT","I04O2",30,10.4286576333333,11.0759231786624
"22","RAG_BDT","I08O2",30,40.1770071666667,39.4508494302222
"23","RAG_BDT","I08O4",30,42.9738286333333,40.96660305007
"24","RAG_BDT","I10O2",30,69.4569562666667,64.6761152318089
"25","RAG_BDT","I12O2",30,181.9072836,153.956094950318
"26","RAG_BDT","I14O4",30,564.386017833333,414.428188351705
"27","RAG_BDT","I15O5",30,971.911667,706.657577692312
"28","RAG_OBDD","I04O2",30,10.8326453,11.7236209459075
"29","RAG_OBDD","I08O2",30,41.3258205,38.9068511114845
"30","RAG_OBDD","I08O4",30,42.6055509,40.0867311645667
"31","RAG_OBDD","I10O2",30,71.4821256333333,63.5692398394193
"32","RAG_OBDD","I12O2",30,167.726008366667,148.461808830109
"33","RAG_OBDD","I14O4",30,480.4224267,386.985226578875
"34","RAG_OBDD","I15O5",30,870.7935998,657.68742000137
"35","RAG_OBDT","I04O2",30,10.6454573,11.6915675247397
"36","RAG_OBDT","I08O2",30,41.0895639333333,39.8684168398293
"37","RAG_OBDT","I08O4",30,43.2422291,41.6794724706103
"38","RAG_OBDT","I10O2",30,68.8665482666667,64.81695773074
"39","RAG_OBDT","I12O2",30,173.076773366667,150.306540701454
"40","RAG_OBDT","I14O4",30,468.843418866667,387.027943535727
"41","RAG_OBDT","I15O5",30,815.212788033333,642.448026574494
"42","RAG_ROBDD","I04O2",30,10.6270783,11.0810580991557
"43","RAG_ROBDD","I08O2",30,43.7352949333333,39.1396563638016
"44","RAG_ROBDD","I08O4",30,44.7903316,40.8018027663878
"45","RAG_ROBDD","I10O2",30,80.0604782666667,64.1214633784217
"46","RAG_ROBDD","I12O2",30,212.4135874,158.45636030479
"47","RAG_ROBDD","I14O4",30,756.6163283,578.503874357056
"48","RAG_ROBDD","I15O5",30,2685.3277418,2817.32064851121
"49","RAG_ROBDD-H","I04O2",30,11.1906223666667,12.8352662708219
"50","RAG_ROBDD-H","I08O2",30,37.9804359666667,41.1006330316267
"51","RAG_ROBDD-H","I08O4",30,38.7449377,43.6642781546878
"52","RAG_ROBDD-H","I10O2",30,68.0591972333333,65.785834987031
"53","RAG_ROBDD-H","I12O2",30,176.3944634,150.744108089337
"54","RAG_ROBDD-H","I14O4",30,725.769788466667,538.045113688748
"55","RAG_ROBDD-H","I15O5",30,2201.55962513333,2151.85842711784
"56","RSyncBDD","I04O2",30,283.228549766667,133.368751768162
"57","RSyncBDD","I08O2",30,1411.06906783333,1201.35570250854
"58","RSyncBDD","I08O4",30,1755.73565223333,1494.94656776163
"59","RSyncBDD","I10O2",30,17765.8771416667,20037.3582502724
"60","RSyncBDD_U","I04O2",30,281.896551833333,136.639804793256
"61","RSyncBDD_U","I08O2",30,1386.68416576667,1160.14619661053
"62","RSyncBDD_U","I08O4",30,1783.12668063333,1533.04716248725
"63","RSyncBDD_U","I10O2",30,17121.2054132333,19616.4105324091
"64","RSyncBDT","I04O2",30,295.381223033333,130.191868267567
"65","RSyncBDT","I08O2",30,1810.02977543333,1053.13606457609
"66","RSyncBDT","I08O4",30,2567.5043983,1442.8692089464
"67","RSyncBDT","I10O2",30,25207.212545,18748.4616495914
"68","RSyncBDT_U","I04O2",30,287.103803733333,128.749658323881
"69","RSyncBDT_U","I08O2",30,1703.49010756667,1033.61503941138
"70","RSyncBDT_U","I08O4",30,2537.74712263333,1423.72509109979
"71","RSyncBDT_U","I10O2",30,23780.1401150333,18379.8151094856
"72","YAMTL","I04O2",30,174.040485033333,109.931722817527
"73","YAMTL","I08O2",30,244.693768866667,76.7303656975727
"74","YAMTL","I08O4",30,244.2600523,77.2307645273357
"75","YAMTL","I10O2",30,319.59049,81.4000333194236
"76","YAMTL","I12O2",30,557.4223042,275.38101852113
"77","YAMTL","I14O4",30,1287.06695186667,831.570845941179
"78","YAMTL","I15O5",30,2592.3936502,1749.5696526726
