Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;48443
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4885112
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;16624365
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2787808
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;4561026
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2540920
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;14
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;15
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;47928
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;4884600
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Load;Time;53755575
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;4119072
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;Time;18616661
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;4717648
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;DecisionNodes;219
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;AssignmentNodes;220
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;56317
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;4884272
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Load;Time;62241264
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;4383464
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;Time;19959007
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;Memory;5172080
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;DecisionNodes;249
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;AssignmentNodes;250
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;50567
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;4884456
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Load;Time;81454599
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;9286944
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;Time;36691351
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;Memory;13108160
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;DecisionNodes;897
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;AssignmentNodes;898
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;43151
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;4884664
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;176785901
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;33303040
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;Time;86569847
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;Memory;51759008
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;DecisionNodes;3551
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;AssignmentNodes;3552
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;45923
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;4881136
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;434352931
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;160366512
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;Time;291622186
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;Memory;257568504
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;DecisionNodes;15878
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;AssignmentNodes;15879
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Time;47639
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Memory;4884784
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Load;Time;876531372
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Load;Memory;352031456
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;Time;516566023
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;Memory;568478320
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;DecisionNodes;32266
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;AssignmentNodes;32267
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;47975
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4884696
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;16510745
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2787528
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;4230900
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2538520
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;43777
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;4884832
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Load;Time;54759693
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;4113728
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;Time;22744708
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;4637168
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;DecisionNodes;255
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;50020
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;4884840
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Load;Time;55145242
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;4380232
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Run;Time;16467628
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Run;Memory;5062856
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Run;DecisionNodes;255
RelationalRAGSolutionOBDD;GeneratedI8O4Seed68.ttmodel;0;Run;AssignmentNodes;16
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;56961
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;4884456
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Load;Time;83782116
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;9286992
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Run;Time;26367445
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Run;Memory;12876184
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Run;DecisionNodes;1023
RelationalRAGSolutionOBDD;GeneratedI10O2Seed68.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;46726
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;4884456
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;175822512
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;33302872
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Run;Time;70812930
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Run;Memory;51129984
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Run;DecisionNodes;4095
RelationalRAGSolutionOBDD;GeneratedI12O2Seed7634.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;42697
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;4884776
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;437522246
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;160366792
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Run;Time;229012763
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Run;Memory;251644904
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Run;DecisionNodes;16383
RelationalRAGSolutionOBDD;GeneratedI14O4Seed7634.ttmodel;0;Run;AssignmentNodes;16
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Time;57558
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Memory;4884488
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Load;Time;869093205
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Load;Memory;352034000
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Run;Time;411862491
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Run;Memory;554372608
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Run;DecisionNodes;32767
RelationalRAGSolutionOBDD;GeneratedI15O5Seed282316.ttmodel;0;Run;AssignmentNodes;32
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;50008
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4884920
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Load;Time;20455692
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2826552
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;Time;3121804
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2521688
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;48655
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;4884912
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Load;Time;66347888
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;4881064
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Run;Time;6228367
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;4651632
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Run;DecisionNodes;255
RelationalRAGSolutionOBDD-H;GeneratedI8O2Seed68.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;56667
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;4885056
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Load;Time;73067251
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;5297264
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Run;Time;6838939
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Run;Memory;5076872
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Run;DecisionNodes;255
RelationalRAGSolutionOBDD-H;GeneratedI8O4Seed68.ttmodel;0;Run;AssignmentNodes;16
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;49299
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;4884648
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Load;Time;104059445
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;12887208
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Run;Time;13794964
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Run;Memory;12890064
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Run;DecisionNodes;1023
RelationalRAGSolutionOBDD-H;GeneratedI10O2Seed68.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;48866
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;4884784
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;258822187
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;50290832
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Run;Time;34693396
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Run;Memory;51136096
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Run;DecisionNodes;4095
RelationalRAGSolutionOBDD-H;GeneratedI12O2Seed7634.ttmodel;0;Run;AssignmentNodes;4
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;49624
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;4884848
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;671995307
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;247149424
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Run;Time;51787032
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Run;Memory;251651768
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Run;DecisionNodes;16383
RelationalRAGSolutionOBDD-H;GeneratedI14O4Seed7634.ttmodel;0;Run;AssignmentNodes;16
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Time;49858
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Memory;4884960
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Load;Time;1215195720
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Load;Memory;544461792
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Run;Time;91942961
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Run;Memory;554387264
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Run;DecisionNodes;32767
RelationalRAGSolutionOBDD-H;GeneratedI15O5Seed282316.ttmodel;0;Run;AssignmentNodes;32
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;56680
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4884912
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;16739719
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2787640
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;4242630
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2531232
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;16
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;48229
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;4884904
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Load;Time;53454857
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;4119064
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Run;Time;15566473
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;4706000
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Run;DecisionNodes;255
RelationalRAGSolutionOBDT;GeneratedI8O2Seed68.ttmodel;0;Run;AssignmentNodes;256
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;46946
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;4884904
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Load;Time;54624885
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;4380336
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Run;Time;14440599
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Run;Memory;5142832
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Run;DecisionNodes;255
RelationalRAGSolutionOBDT;GeneratedI8O4Seed68.ttmodel;0;Run;AssignmentNodes;256
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;53533
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;4884392
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Load;Time;84190523
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;9286856
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Run;Time;36608553
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Run;Memory;13013448
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Run;DecisionNodes;1023
RelationalRAGSolutionOBDT;GeneratedI10O2Seed68.ttmodel;0;Run;AssignmentNodes;1024
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;48313
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;4884744
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;171908645
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;33302808
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;Time;85412668
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;Memory;51467160
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;DecisionNodes;4095
RelationalRAGSolutionOBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;AssignmentNodes;4096
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;49142
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;4884616
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;436141648
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;160366664
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;Time;198058598
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;Memory;255273808
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;DecisionNodes;16383
RelationalRAGSolutionOBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;AssignmentNodes;16384
RelationalRAGSolutionOBDT;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Time;47236
RelationalRAGSolutionOBDT;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Memory;4884752
RelationalRAGSolutionOBDT;GeneratedI15O5Seed282316.ttmodel;0;Load;Time;868388147
RelationalRAGSolutionOBDT;GeneratedI15O5Seed282316.ttmodel;0;Load;Memory;352034640
RelationalRAGSolutionOBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;Time;337834101
RelationalRAGSolutionOBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;Memory;563422720
RelationalRAGSolutionOBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;DecisionNodes;32767
