Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;596907172
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4937416
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Time;107373055
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;5398856
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Time;76540957
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;5603384
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;609068803
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;4937584
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Load;Time;222149000
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;5757840
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Run;Time;284195851
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;6007448
ATLEMFTVMImproved;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;593314051
ATLEMFTVMImproved;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;4937288
ATLEMFTVMImproved;GeneratedI8O4Seed68.ttmodel;0;Load;Time;244207396
ATLEMFTVMImproved;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;5828120
ATLEMFTVMImproved;GeneratedI8O4Seed68.ttmodel;0;Run;Time;306095232
ATLEMFTVMImproved;GeneratedI8O4Seed68.ttmodel;0;Run;Memory;6064408
ATLEMFTVMImproved;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;623870107
ATLEMFTVMImproved;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;4938352
ATLEMFTVMImproved;GeneratedI10O2Seed68.ttmodel;0;Load;Time;374496423
ATLEMFTVMImproved;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;6963560
ATLEMFTVMImproved;GeneratedI10O2Seed68.ttmodel;0;Run;Time;582863654
ATLEMFTVMImproved;GeneratedI10O2Seed68.ttmodel;0;Run;Memory;6932680
ATLEMFTVMImproved;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;599166072
ATLEMFTVMImproved;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;4938320
ATLEMFTVMImproved;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;890730406
ATLEMFTVMImproved;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;13545344
ATLEMFTVMImproved;GeneratedI12O2Seed7634.ttmodel;0;Run;Time;1670965811
ATLEMFTVMImproved;GeneratedI12O2Seed7634.ttmodel;0;Run;Memory;11018720
ATLEMFTVMImproved;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;602689470
ATLEMFTVMImproved;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;4938264
ATLEMFTVMImproved;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;2267102624
ATLEMFTVMImproved;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;46834088
ATLEMFTVMImproved;GeneratedI14O4Seed7634.ttmodel;0;Run;Time;6953037218
ATLEMFTVMImproved;GeneratedI14O4Seed7634.ttmodel;0;Run;Memory;35540592
ATLEMFTVMImproved;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Time;622358263
ATLEMFTVMImproved;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Memory;4939376
ATLEMFTVMImproved;GeneratedI15O5Seed282316.ttmodel;0;Load;Time;4353405930
ATLEMFTVMImproved;GeneratedI15O5Seed282316.ttmodel;0;Load;Memory;88223816
ATLEMFTVMImproved;GeneratedI15O5Seed282316.ttmodel;0;Run;Time;20705325633
ATLEMFTVMImproved;GeneratedI15O5Seed282316.ttmodel;0;Run;Memory;74954888
NMF;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;324043100
NMF;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;66998272
NMF;GeneratedI4O2Seed42.ttmodel;0;Load;Time;22339100
NMF;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;67211264
NMF;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;199919000
NMF;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;69820416
NMF;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;313969600
NMF;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;66760704
NMF;GeneratedI8O2Seed68.ttmodel;0;Load;Time;50327500
NMF;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;76537856
NMF;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;769755800
NMF;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;109289472
NMF;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;313699200
NMF;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;66985984
NMF;GeneratedI8O4Seed68.ttmodel;0;Load;Time;55377300
NMF;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;75751424
NMF;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;809054700
NMF;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;112025600
NMF;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;314450800
NMF;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;67235840
NMF;GeneratedI10O2Seed68.ttmodel;0;Load;Time;209885500
NMF;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;77127680
NMF;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;3636610100
NMF;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;236630016
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;315760700
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;67026944
NMF;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;1000660200
NMF;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;100917248
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;29290372000
NMF;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;800219136
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;319497100
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;67235840
NMF;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;5948479300
NMF;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;234938368
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;475868256300
NMF;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;3601027072
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;42714807;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;1165144;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Time;6187926;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;1203768;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Time;53025439;31
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;1917104;31
Fulib;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;42663072;0
Fulib;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;1165144;0
Fulib;GeneratedI8O2Seed68.ttmodel;0;Load;Time;37111744;0
Fulib;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;1811592;0
Fulib;GeneratedI8O2Seed68.ttmodel;0;Run;Time;66197050;511
Fulib;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;2578704;511
Fulib;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;42679058;0
Fulib;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;1165144;0
Fulib;GeneratedI8O4Seed68.ttmodel;0;Load;Time;44425818;0
Fulib;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;1933872;0
Fulib;GeneratedI8O4Seed68.ttmodel;0;Run;Time;69711918;511
Fulib;GeneratedI8O4Seed68.ttmodel;0;Run;Memory;2720216;511
Fulib;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;44103615;0
Fulib;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;1165144;0
Fulib;GeneratedI10O2Seed68.ttmodel;0;Load;Time;94848475;0
Fulib;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;4799536;0
Fulib;GeneratedI10O2Seed68.ttmodel;0;Run;Time;100180969;2047
Fulib;GeneratedI10O2Seed68.ttmodel;0;Run;Memory;5740456;2047
Fulib;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;53209041;0
Fulib;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;1165168;0
Fulib;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;309870904;0
Fulib;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;16554712;0
Fulib;GeneratedI12O2Seed7634.ttmodel;0;Run;Time;142065668;8191
Fulib;GeneratedI12O2Seed7634.ttmodel;0;Run;Memory;18179552;8191
Fulib;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;42778286;0
Fulib;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;1165168;0
Fulib;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;600098713;0
Fulib;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;75225488;0
Fulib;GeneratedI14O4Seed7634.ttmodel;0;Run;Time;226844636;32767
Fulib;GeneratedI14O4Seed7634.ttmodel;0;Run;Memory;80761760;32767
Fulib;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Time;47546445;0
Fulib;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Memory;1165168;0
Fulib;GeneratedI15O5Seed282316.ttmodel;0;Load;Time;1013307815;0
Fulib;GeneratedI15O5Seed282316.ttmodel;0;Load;Memory;167309176;0
Fulib;GeneratedI15O5Seed282316.ttmodel;0;Run;Time;433866100;65535
Fulib;GeneratedI15O5Seed282316.ttmodel;0;Run;Memory;179712432;65535
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;88808
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;3772352
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;26372945
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3840720
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;7425391
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;3888224
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;14
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;15
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;92398
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;3772648
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Load;Time;86402306
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;5105440
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;Time;28727445
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;6039232
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;DecisionNodes;219
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;AssignmentNodes;220
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;MinPath;6
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;MaxPath;8
RelationalRAGSolutionBDT;GeneratedI8O2Seed68.ttmodel;0;Run;AvgPath;7.7109375
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;105435
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;3772552
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Load;Time;93193875
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;5354320
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;Time;31752975
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;Memory;6490232
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;DecisionNodes;249
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;AssignmentNodes;250
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;MinPath;7
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;MaxPath;8
RelationalRAGSolutionBDT;GeneratedI8O4Seed68.ttmodel;0;Run;AvgPath;7.953125
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;63879
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;3735968
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Load;Time;153146500
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;10021400
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;Time;58860524
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;Memory;14343344
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;DecisionNodes;897
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;AssignmentNodes;898
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;MinPath;8
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;MaxPath;10
RelationalRAGSolutionBDT;GeneratedI10O2Seed68.ttmodel;0;Run;AvgPath;9.74609375
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;96026
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;3772720
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;380358936
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;32602112
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;Time;151757585
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;Memory;52241552
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;DecisionNodes;3551
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;AssignmentNodes;3552
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;MinPath;10
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;MaxPath;12
RelationalRAGSolutionBDT;GeneratedI12O2Seed7634.ttmodel;0;Run;AvgPath;11.72314453125
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;120305
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;3772720
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;984702227
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;152064920
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;Time;769716064
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;Memory;253850240
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;DecisionNodes;15878
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;AssignmentNodes;15879
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;MinPath;12
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;MaxPath;14
RelationalRAGSolutionBDT;GeneratedI14O4Seed7634.ttmodel;0;Run;AvgPath;13.938232421875
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Time;41919
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Initialization;Memory;3772512
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Load;Time;1553892534
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Load;Memory;332533896
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;Time;1302234059
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;Memory;558052272
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;DecisionNodes;32266
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;AssignmentNodes;32267
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;MinPath;14
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;MaxPath;15
RelationalRAGSolutionBDT;GeneratedI15O5Seed282316.ttmodel;0;Run;AvgPath;14.96942138671875
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;55116
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;3772616
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;24258344
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3841344
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;7054629
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;3885008
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;4
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;4.0
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;56159
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;3772560
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Load;Time;94982168
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;5106120
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;Time;31913526
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;5964328
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;DecisionNodes;255
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;MinPath;8
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;MaxPath;8
RelationalRAGSolutionOBDD;GeneratedI8O2Seed68.ttmodel;0;Run;AvgPath;8.0
