Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;282534113
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4516664
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Time;123723056
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3419720
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Time;759798883
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;7030808
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;285971285
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4515568
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Load;Time;135376687
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3409512
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Run;Time;778328791
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;7054056
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;627278294
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;7992448
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Time;80388600
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;4784152
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Time;92066200
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;4892744
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;62685549;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;1117256;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Time;12112030;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;608440;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Time;39652609;31
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;1110336;31
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;61532
